user,tweet,who
"Weird, Far Right, Dirty, Angry, Swarthy Jew","Hi Death Cultist.  Trump  has killed zero people. Hitler killed 6 million of mine, not to mention all the casualties from the war. You can stop talking.",__label__trump
Susie(old enough to not give an)F,So should we take down the addresses of houses with  trump  signs?,__label__trump
Kim,There was nothing in Joe’s tweet normalizing any of the  Trump  madness. FULL STOP.,__label__trump
Nuckinfuklehead,You mean the same ones that  Trump  had that they got rid of for 3.5 years?,__label__trump
Jesse,"nah,  trump  isn't in office",__label__trump
Jason Hansen,It is quite annoying and actually will make myself vote for  Trump  even more as I fact check the ad and   then  . TRUMP 2024!,__label__trump
J6RpoliticalPrisoners,"Mr.Cheunson, wth are you talking about? ""Common sense tells us that if your nominee drops out, you nominate the next best option.""  Your  Trump  derangement is so extreme you've lost focus of the original topic!! Go take your meds and stop listening to the MSM.",__label__trump
Anna Kirkwood Graham,"Brittany should realize that she's losing her husband some fans when she promotes  Trump , anyway.",__label__trump
Nunya Business,Trump  is evil!,__label__trump
Proud Democrat History Professor,Who wants to place a bet that  Trump   and Melania were NOT involved in the Ditty child trafficking and prostitution ring???,__label__trump
mike,"@cnn  loves any press,  truth of not and lets it’s talent say anything as long as it is negative against  Trump ,  Trump  allies or supporters.  No decency anymore",__label__trump
Tim Family First,Obvious  ly Trump.,__label__trump
Al Moulaison,"I just heard from a friend who lives in Michigan, and he says there are 25 ads for Kamala to 1 for  Trump . He better get on that, as I do believe he needs that state.",__label__trump
Dossier-Truther (The Original),"Good art work! Fan Fantasy, right? Because  Trump  doesn't demonstrate any of this! Let’s stay serious.",__label__trump
Ginny,Ryan Routh caught in Martin County after FL  Trump  assassination attempt,__label__trump
Dossier-Truther (The Original),"Good art work! Fan Fantasy, right? Because  Trump  doesn't demonstrate any of this! Let’s stay serious.",__label__trump
Ginny,Ryan Routh caught in Martin County after FL  Trump  assassination attempt,__label__trump
Peter Voter,YIKES!  Trump ’s Supporters ABANDON Him at CRITICAL TIME  https:// =l5AkCGLWQk9wh_rX …  via  @YouTube,__label__trump
melissa mc,"But according to  Trump , a vice president doesn't do anything... which is it?",__label__trump
First Aboriginal,Lefties losing it: MSNBC encourages Hillary Clinton's 'ugly' anti- Trump !!!  https:// =n0cV1iIs6StNLWIV …  via  @YouTube,__label__trump
Margaery Tyrell,This. We are never more irrational than during the two months before a presidential election where  Trump  is on the ballot,__label__trump
ohmyomar,MAGA thinking that  Trump  is chosen by God for having survived two assassination attempts will lose their mind once they learn about Castro,__label__trump
Cleduc9295,"""The Dems explicitly called for  Trump  to be shot and now two people have answered that call""  BS",__label__trump
bowlofborscht,I didn’t hear the soros shit but yeah hiss shilling  for Israel is concerning.   But desantis is correct here. Why would any sane person still trust the feds to handle anything honestly involving  trump ?,__label__trump
DanceCarolina1,Here’s your reminder that  Trump  redrew the “actual” projected path of a hurricane in the upper gulf with a sharpie. Over the NWS map. On national television.   Sorry it was a do n olives way to say the guy’s a complete dolt.,__label__trump
Shawdog,"I know, right?!?! I was bewildered that the  Trump 's kept saying etherium on  @farokh  space last night. They want to bring Blockchain tech to the every day person. They don't understand we can't afford 50$ for a simple transaction. We can't afford to get hacked.   Nobody is going",__label__trump
ZOLTAR,"OK Boomer….  Since when has  Trump  given a shit about the Seniors. This Senior is Harris all the way, for myself, for my granddaughters and all women in this country. He hates women. The GOP hates women.",__label__trump
EyemJimmy,"You deflected to  Trump  after I highlighted your ignorant lies regarding Rittenhouse.   Instead of owning up to your misinformation, you deflected to a topic I never mentioned.   You've been reduced to a troll.",__label__trump
Kamala Harris Will Make America Great Again.,"VD Vance is responsible, it was he who called  Trump  America's Adolf Hitler, it was he who said  Trump  is a Danger to Democracy, just as it was Cruz, Rubio, Graham, McCarthy McConnell & dozens of other Republicans who all warned America that Donald  Trump  is a Danger to Democracy.",__label__trump
S. B. Roberts,Hatred on the left? Have you heard  Trump  and Vance lately?,__label__trump
Linda Mytych,Yes I do!,__label__trump
| izuku.eth |,Trump  gonna do omnicide.eth,__label__trump
Velly Vell,This crazy cuz 20 years ago every nigga wanted to be Puff or  Trump,__label__trump
MeLiSsA,"The framers of the constitution in 1787 established the electoral college, but I guess that’s T rump’ s fault too.  The real disenfranchisement is installing a candidate without a single vote. She couldn’t even finish a primary when she tried. She’s Hubert Humphrey.",__label__trump
Kim,I seem to remember dems and Hillary many other top dems calling  Trump  and illegitimate president.,__label__trump
Pamplin Clayton,"Oh Please you Republicans are grasping, at straws( who really believe that there was a second attempt on former President Donald  Trump  life ;plus how did the person know he was going to be there on the Golf course and what time?",__label__trump
ZOLTAR,"OK Boomer….  Since when has  Trump  given a shit about the Seniors. This Senior is Harris all the way, for myself, for my granddaughters and all women in this country. He hates women. The GOP hates women.",__label__trump
EyemJimmy,"You deflected to  Trump  after I highlighted your ignorant lies regarding Rittenhouse.   Instead of owning up to your misinformation, you deflected to a topic I never mentioned.   You've been reduced to a troll.",__label__trump
Kamala Harris Will Make America Great Again.,"VD Vance is responsible, it was he who called  Trump  America's Adolf Hitler, it was he who said  Trump  is a Danger to Democracy, just as it was Cruz, Rubio, Graham, McCarthy McConnell & dozens of other Republicans who all warned America that Donald  Trump  is a Danger to Democracy.",__label__trump
S. B. Roberts,Hatred on the left? Have you heard  Trump  and Vance lately?,__label__trump
Linda Mytych,Yes I do!,__label__trump
| izuku.eth |,Trump  gonna do omnicide.eth,__label__trump
Velly Vell,This crazy cuz 20 years ago every nigga wanted to be Puff or  Trump,__label__trump
MeLiSsA,"The framers of the constitution in 1787 established the electoral college, but I guess that’s T rump’ s fault too.  The real disenfranchisement is installing a candidate without a single vote. She couldn’t even finish a primary when she tried. She’s Hubert Humphrey.",__label__trump
Kim,I seem to remember dems and Hillary many other top dems calling  Trump  and illegitimate president.,__label__trump
Pamplin Clayton,"Oh Please you Republicans are grasping, at straws( who really believe that there was a second attempt on former President Donald  Trump  life ;plus how did the person know he was going to be there on the Golf course and what time?",__label__trump
Craig Munch,Trump  is going to cut medicare and social security so he lost the senior citizen vote a year ago. This post just reeks of lying desperation.,__label__trump
John Jay Appreciator,The first person who shot at  Trump  was a registered Republican and the second was a  Trump  voter in 2016,__label__trump
@Raventhehusky (Raven's Mom),Liar! If  Trump  was on the Epstein list it would be published on billboards. Kamala had 4 years to do something but she did nothing but cover up the old pedophile's mental state.,__label__trump
Linus,Your  Trump  derangement syndrome is showing.,__label__trump
shostoprokofiev,"Donald  Trump  Jr. just deleted his post defending the actions of this Libertarian CRIMINAL. I thought the  #Gop  was all about Law and Order? Oh, not when they break laws",__label__trump
JeanneTomlin,"#JDVance  is such an idiot he does not know the difference between the EU and NATO and thinks our alliances should be based on who likes Elon Musk and Twitter. Seriously, this twit needs a brain scan to see if he has one.  #Trump",__label__trump
Quotesforlife,Trump  won’t win,__label__trump
Herr Vogele,Perhaps  Trump  could hire some ex-Mossad guys,__label__trump
sh,Scripps News did a short report on how someone is using  Trump 's celebrity to sell crypto currency. I did not hear all of it but you might want to check it out. They said banks are warning people NOT TO INVEST in this.  They treated it like a scam. So you might want to check it.,__label__trump
Belinda Ballard,'I'm not even sure he can spell IVF': Tammy Duckworth doubts  Trump  on reproductive rights,__label__trump
idkLeo,Yall could have Biden shooting at  Trump  and democrats still gonna find a way to say it was a republican lmfao,__label__trump
Belinda Ballard,'I'm not even sure he can spell IVF': Tammy Duckworth doubts  Trump  on reproductive rights,__label__trump
idkLeo,Yall could have Biden shooting at  Trump  and democrats still gonna find a way to say it was a republican lmfao,__label__trump
StrongMilitaryUSA,"Registered REPUBLICANS are taking shots at  Trump , period, not the left. Easy fact to confirm This one supported  Trump  then Nikki then DeSantis Did  Trump  think HIS violent rhetoric & encouraged violence wouldn't come home to roost? His comrade MAGAs are doing this don't blame left",__label__trump
Roseanna Launstein,Crazy isn't it,__label__trump
CitizenWatch,"All defections from real American issues.  Nothing about real policies, affecting real working class families, or affecting real economic change.  Just concepts.  But the amount of time spent on the golf course is very real.  The assassin knew exactly where  Trump ’s time is wasted",__label__trump
TheBlackGhost,Trump  just talking out of his ass as usual,__label__trump
jcd,Hillary then George,__label__trump
"Irongoats67 Suggon Deeznutz ""Trump/Vance 2024""",Parody,__label__trump
Amber Waves for Trump *~*,"I agree 100%, Diana!",__label__trump
EteMe,Trump  tower will reply shortly lol,__label__trump
Qaurbeau17,"LE RETOUR EN ARRIÈRE LE FUTUR PROUVE LE PASSÉ ?   ""Qu'est-ce que QAnon, le groupe de théories du complot qui se présente aux meetings de  Trump  ?"" est le titre d'un article de Fox News Publié 17 février 2020 13h13 HNE cité dans le :  Q post 1814 du 3 août 2018  [Sur tous les",__label__trump
Love OUR COUNTRY,You had this coming.  Pay your penalties like everyone else.  You and  Trump  billionaire but still don't want to pay your fair share,__label__trump
Imwithherb,"Nope.   Trump , FOX and NEWSMAX are the big liars and propagandists, and you aren't bothered by it in the least.",__label__trump
Bruins 4 Life,Misinfomration boosted  Trump  back in 2016 LOL - still pushing out the excuses ... meanwhile the world knwos she paid for a fake dossier on  Trump   - how does she even show her face - zero culpability and zero self awareness,__label__trump
john prussack,Nothing happened in 2020 and nothing will happen in 2024 you are just that bad of a candidate that can’t take no for an answer. Grow up baby  Trump .,__label__trump
Simon Aldra,"Hvorfor? Jeg er enig i at  Trump  nok er nærmere fascisme enn Harris er kommunisme, men ut over det?",__label__trump
Greg Williams,"The very first week Biden was in office he shutdown every single economic advantage we had in energy production. To spite  Trump . That increased the cost of goods sold across the entire spectrum. When gas is up, everything goes up.",__label__trump
LionsGoBlue,You and that guy that tried to kill  Trump  this weekend bought the same propaganda.   Project 2025 is not  Trumps ....,__label__trump
"Sabina#DACA, BLM, pro Palestine, hates trump",It's alright for jd vance and  trump  to lie,__label__trump
BrianTerry180,The  Trump  sh$$ter is just an allegation at this point. Are you also convinced he isn't a suspect?,__label__trump
B.B.,"ABC Admits It Rigged Debate, Hosts Planned Event to Attack  Trump   https:// -admits-it-rigged-debate-hosts-planned-event-to-attack-trump/ …",__label__trump
